0 0
0.01 0.0099914
0.02 0.0141207
0.03 0.0172859
0.04 0.0199533
0.05 0.0223037
0.06 0.0244296
0.07 0.0263855
0.08 0.0282068
0.09 0.0299176
0.1 0.031535
0.11 0.0330718
0.12 0.0345374
0.13 0.0359389
0.14 0.0372818
0.15 0.0385702
0.16 0.0398073
0.17 0.0409956
0.18 0.0421367
0.19 0.0432319
0.2 0.0442821
0.21 0.0452878
0.22 0.0462491
0.23 0.0471661
0.24 0.0480386
0.25 0.0488663
0.26 0.0496487
0.27 0.0503854
0.28 0.0510757
0.29 0.051719
0.3 0.0523146
0.31 0.0528619
0.32 0.0533602
0.33 0.0538088
0.34 0.0542071
0.35 0.0545545
0.36 0.0548504
0.37 0.0550944
0.38 0.0552861
0.39 0.055425
0.4 0.055511
0.41 0.0555438
0.42 0.0555234
0.43 0.0554496
0.44 0.0553227
0.45 0.0551428
0.46 0.0549101
0.47 0.0546252
0.48 0.0542884
0.49 0.0539005
0.5 0.053462
0.51 0.0529739
0.52 0.0524371
0.53 0.0518526
0.54 0.0512216
0.55 0.0505453
0.56 0.0498251
0.57 0.0490624
0.58 0.0482587
0.59 0.0474157
0.6 0.0465351
0.61 0.0456187
0.62 0.0446683
0.63 0.0436858
0.64 0.0426733
0.65 0.0416328
0.66 0.0405662
0.67 0.0394758
0.68 0.0383637
0.69 0.037232
0.7 0.0360828
0.71 0.0349182
0.72 0.0337405
0.73 0.0325515
0.74 0.0313534
0.75 0.0301481
0.76 0.0289375
0.77 0.0277233
0.78 0.0265072
0.79 0.0252909
0.8 0.0240756
0.81 0.0228626
0.82 0.0216529
0.83 0.0204475
0.84 0.019247
0.85 0.0180517
0.86 0.0168617
0.87 0.0156769
0.88 0.0144969
0.89 0.0133208
0.9 0.0121475
0.91 0.0109754
0.92 0.00980253
0.93 0.00862652
0.94 0.00744451
0.95 0.00625313
0.96 0.00504851
0.97 0.00382622
0.98 0.00258123
0.99 0.00130792
1 0
0 -0
0.01 -0.0111206
0.02 -0.0155153
0.03 -0.0187394
0.04 -0.0213312
0.05 -0.0235019
0.06 -0.0253613
0.07 -0.0269757
0.08 -0.0283889
0.09 -0.0296319
0.1 -0.0307278
0.11 -0.0316943
0.12 -0.0325457
0.13 -0.0332933
0.14 -0.0339469
0.15 -0.0345146
0.16 -0.0350034
0.17 -0.0354194
0.18 -0.0357682
0.19 -0.0360544
0.2 -0.0362824
0.21 -0.0364562
0.22 -0.0365794
0.23 -0.0366552
0.24 -0.0366867
0.25 -0.0366767
0.26 -0.0366278
0.27 -0.0365424
0.28 -0.0364228
0.29 -0.0362712
0.3 -0.0360896
0.31 -0.0358798
0.32 -0.0356436
0.33 -0.0353828
0.34 -0.0350988
0.35 -0.0347932
0.36 -0.0344675
0.37 -0.0341229
0.38 -0.0337607
0.39 -0.0333822
0.4 -0.0329884
0.41 -0.0325805
0.42 -0.0321595
0.43 -0.0317262
0.44 -0.0312817
0.45 -0.0308268
0.46 -0.0303623
0.47 -0.029889
0.48 -0.0294075
0.49 -0.0289186
0.5 -0.0284228
0.51 -0.0279209
0.52 -0.0274132
0.53 -0.0269003
0.54 -0.0263828
0.55 -0.025861
0.56 -0.0253353
0.57 -0.0248062
0.58 -0.024274
0.59 -0.0237389
0.6 -0.0232012
0.61 -0.0226613
0.62 -0.0221193
0.63 -0.0215754
0.64 -0.0210299
0.65 -0.0204828
0.66 -0.0199342
0.67 -0.0193843
0.68 -0.0188332
0.69 -0.0182809
0.7 -0.0177274
0.71 -0.0171727
0.72 -0.0166169
0.73 -0.0160599
0.74 -0.0155016
0.75 -0.0149421
0.76 -0.0143811
0.77 -0.0138186
0.78 -0.0132546
0.79 -0.0126888
0.8 -0.0121211
0.81 -0.0115513
0.82 -0.0109793
0.83 -0.0104048
0.84 -0.00982765
0.85 -0.00924762
0.86 -0.00866447
0.87 -0.00807792
0.88 -0.00748771
0.89 -0.00689354
0.9 -0.00629512
0.91 -0.00569214
0.92 -0.00508425
0.93 -0.00447111
0.94 -0.00385237
0.95 -0.00322764
0.96 -0.00259654
0.97 -0.00195865
0.98 -0.00131356
0.99 -0.000660832
1 -0
